NAME                     PSRJ                     P0                                     P1                               F0                                   F1                                F2                              F3                            T0                                 R_LUM       R_LUM14     AGE      BSURF     P1_I      BSURF_I  B_LC

20    B0021-72N     rlm+95     J0024-7204N   rlm+95     0.00305395434626085     10  frk+17     -2.18570E-20      19  frk+17     327.44431861739        1  frk+17     2.3435E-15          2  frk+17     -9E-27            2  frk+17     *               0  *          *                    0  *          *           *           *        *         -2.35e-20 -nan     *

21    J0024-7204O   clf+00     J0024-7204O   clf+00     0.00264334329724357      5  frk+17     3.03493E-20        6  frk+17     378.308788360098       6  frk+17     -4.34352E-15        8  frk+17     43.8E-27          5  frk+17     *               0  *          51600.0757563        3  frk+17     *           *           1.38e+09 2.87e+08  2.94e-20  2.82e+08 1.45e+05
22    J0024-7204P   clf+00     J0024-7204P   clf+00     0.0036430207             3  rft+16     6.6E-19            4  rft+16     274.49748              2  rft+16     -5E-14              3  rft+16     *                 0  *          *               0  *          52912.5481           1  rft+16     *           *           8.7e+07  1.57e+09  *         *        3.05e+05
23    J0024-7204Q   clf+00     J0024-7204Q   clf+00     0.00403318118457258     15  frk+17     3.4008E-20         4  frk+17     247.943237418920       9  frk+17     -2.0907E-15         2  frk+17     7E-28            11  frk+17     *               0  *          *                    0  *          *           *           1.88e+09 3.75e+08  3.25e-20  3.66e+08 5.36e+04
24    J0024-7204R   clf+00     J0024-7204R   clf+00     0.00348046270749329     13  frk+17     1.48352E-19        3  frk+17     287.31811946930        1  frk+17     -12.2467E-15        2  frk+17     -8.5E-27         15  frk+17     *               0  *          *                    0  *          *           *           3.72e+08 7.27e+08  1.47e-19  7.24e+08 1.62e+05
25    J0024-7204S   clf+00     J0024-7204S   clf+00     0.00283040595787912      8  frk+17     -1.205413E-19      9  frk+17     353.306209385356       9  frk+17     15.0466E-15         1  frk+17     -7.8E-27          8  frk+17     *               0  *          *                    0  *          *           *           *        *         -1.21e-19 -nan     *

26    J0024-7204T   clf+00     J0024-7204T   clf+00     0.0075884798073671      12  frk+17     2.93805E-19       12  frk+17     131.77869947406        2  frk+17     -5.1021E-15         2  frk+17     -3E-27            2  frk+17     *               0  *          *                    0  *          *           *           4.09e+08 1.51e+09  2.91e-19  1.50e+09 3.24e+04
27    J0024-7204U   clf+00     J0024-7204U   clf+00     0.00434282669639233     12  frk+17     9.52279E-20       17  frk+17     230.264772211776       6  frk+17     -5.04916E-15        9  frk+17     18.8E-27          6  frk+17     *               0  *          *                    0  *          *           *           7.23e+08 6.51e+08  9.35e-20  6.45e+08 7.45e+04
